url_origem,regra_wcag_id,titulo_erro,seletor_css,snippet_html
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.contabilidade > a.state-published,"<a href=""https://ufal.br/transparencia/contabilidade"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.licitacoes > a.state-published,"<a href=""https://ufal.br/transparencia/licitacoes"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.contratos > a.state-published,"<a href=""https://ufal.br/transparencia/contratos"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.parcerias > a.state-published,"<a href=""https://ufal.br/transparencia/parcerias"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.relatorios > a.state-published,"<a href=""https://ufal.br/transparencia/relatorios"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.documentos > a.state-published,"<a href=""https://ufal.br/transparencia/documentos"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/institucional"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/planejamento"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/orcamento"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/contabilidade"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/licitacoes"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/contratos"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/parcerias"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/relatorios"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,div.col-lg-4 > div.descriptionItem > div.title > a,"<a href=""https://ufal.br/transparencia/documentos"">"
https://ufal.br/editais,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/ufal/ensino/educacao-a-distancia/editais"" class=""contenttype-link state-published"">"
https://ufal.br/editais,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/estudante/assistencia-estudantil/editais-1"" class=""contenttype-link state-published"">"
https://ufal.br/editais,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/estudante/graduacao/programas/afirmasus/editais"" class=""contenttype-link state-published"">"
https://ufal.br/editais,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/estudante/graduacao/programas/monitoria/editais"" class=""contenttype-link state-published"">"
https://ufal.br/editais,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/estudante/graduacao/programas/pet-saude-digital/editais"" class=""contenttype-link state-published"">"
https://ufal.br/editais,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-document,"<a href=""https://ufal.br/estudante/assistencia-estudantil/publicacoes/instrucoes-no…"" class=""contenttype-document state-published"">"
https://ufal.br/editais,link-in-text-block,Links rely on color to be distinguishable.,div#content-core > p.discreet > span > a,"<a href=""https://ufal.br/contact-info"">"
https://ufal.br/editais,link-in-text-block,Links rely on color to be distinguishable.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/ufal/pesquisa-e-inovacao/programas/pibiti/editais-pibiti"" class=""contenttype-link state-published"">"
